task,variant,passed,checked,memory,params,cost,points,valid,artifact
task113,baseline,265,265,0,30,30,21.598802618337846,True,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task113.onnx
task113,mirror_concat,265,265,24000,14,24014,14.913607727409337,True,E:\kongming\NGC-work\workplace C\single_task\task113\onnx\task113_candidate.onnx
