task,variant,passed,checked,cost,points,valid,artifact
task221,baseline,267,267,805,18.309157722581435,True,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task221.onnx
task221,tile_rank_fill,267,267,78973,13.723138699120152,True,E:\kongming\NGC-work\workplace C\single_task\task221\onnx\task221_candidate.onnx
