task,archive_path,parent_path,archive_method_family,transfer_hint,source_policy,archive_nodes,archive_initializers,archive_initializer_elements,archive_constant_elements,archive_parameter_elements_static,archive_terminal_op,archive_op_types,archive_opset,archive_file_size,parent_nodes,parent_initializers,parent_initializer_elements,parent_constant_elements,parent_parameter_elements_static,parent_terminal_op,parent_op_types,parent_opset,parent_file_size,archive_score_task,archive_score_path,archive_score_ok,archive_score_valid_all_checked,archive_score_examples_checked,archive_score_examples_passed,archive_score_examples_failed,archive_score_memory,archive_score_params,archive_score_cost,archive_score_points,archive_score_file_size,archive_score_sha256,archive_score_error,parent_score_task,parent_score_path,parent_score_ok,parent_score_valid_all_checked,parent_score_examples_checked,parent_score_examples_passed,parent_score_examples_failed,parent_score_memory,parent_score_params,parent_score_cost,parent_score_points,parent_score_file_size,parent_score_sha256,parent_score_error,archive_minus_parent_cost,archive_lower_and_valid
task011,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task011.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task011.onnx,terminal_einsum,fuse_shape_or_mask_selection_into_terminal_einsum,analysis_only_do_not_copy_or_submit_archive_model,5,4,254,0,254,Einsum,Einsum:3;Sub:2,21,1525,5,4,254,0,254,Einsum,Einsum:3;Sub:2,21,1525,task011,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task011.onnx,True,True,267,267,0,64,254,318,19.23794861721982,1525,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,,task011,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task011.onnx,True,True,267,267,0,64,254,318,19.23794861721982,1525,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,,0,False
task012,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task012.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task012.onnx,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,analysis_only_do_not_copy_or_submit_archive_model,28,16,188,0,188,Equal,Add:3;ArgMax:2;Cast:5;Concat:4;Div:1;Einsum:1;Equal:1;Flatten:1;Gather:2;Mul:1;Pad:1;Reshape:2;ScatterElements:1;Slice:1;TopK:1;Unsqueeze:1,12,2240,28,16,188,0,188,Equal,Add:3;ArgMax:2;Cast:5;Concat:4;Div:1;Einsum:1;Equal:1;Flatten:1;Gather:2;Mul:1;Pad:1;Reshape:2;ScatterElements:1;Slice:1;TopK:1;Unsqueeze:1,12,2240,task012,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task012.onnx,True,True,265,265,0,2063,188,2251,17.28087015909327,2240,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,,task012,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task012.onnx,True,True,265,265,0,2063,188,2251,17.28087015909327,2240,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,,0,False
task013,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task013.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task013.onnx,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,analysis_only_do_not_copy_or_submit_archive_model,49,10,63,0,63,Equal,ArgMax:4;Cast:8;Einsum:3;Equal:5;Gather:4;Greater:3;GreaterOrEqual:1;Less:1;Mod:1;Mul:1;Or:1;ReduceMax:1;Reshape:2;Sub:3;Where:11,16,2325,49,10,63,0,63,Equal,ArgMax:4;Cast:8;Einsum:3;Equal:5;Gather:4;Greater:3;GreaterOrEqual:1;Less:1;Mod:1;Mul:1;Or:1;ReduceMax:1;Reshape:2;Sub:3;Where:11,16,2325,task013,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task013.onnx,True,True,267,267,0,1361,63,1424,17.738774908028077,2325,b5f1e5c4871cbd88797e8e037f1f73175cfca71bfc303ea21465c9310ab36e9b,,task013,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task013.onnx,True,True,267,267,0,1361,63,1424,17.738774908028077,2325,b5f1e5c4871cbd88797e8e037f1f73175cfca71bfc303ea21465c9310ab36e9b,,0,False
task014,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task014.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task014.onnx,bitpacked_state_logic,pack_boolean_state_before_spatial_materialization,analysis_only_do_not_copy_or_submit_archive_model,41,14,81,0,81,Equal,Add:2;ArgMax:4;ArgMin:1;BitwiseAnd:1;Cast:5;Concat:3;Einsum:2;Equal:2;Greater:3;Less:1;LessOrEqual:2;Min:2;Neg:1;Or:1;Pad:1;ReduceSum:1;Reshape:1;Slice:1;Sub:4;Where:3,18,2751,41,14,81,0,81,Equal,Add:2;ArgMax:4;ArgMin:1;BitwiseAnd:1;Cast:5;Concat:3;Einsum:2;Equal:2;Greater:3;Less:1;LessOrEqual:2;Min:2;Neg:1;Or:1;Pad:1;ReduceSum:1;Reshape:1;Slice:1;Sub:4;Where:3,18,2751,task014,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task014.onnx,True,True,266,266,0,4016,81,4097,16.681989722453128,2751,5708d9056915de3402459e5b2cea8454a84d39dbecbe9fc2be4804e92f3ed9fe,,task014,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task014.onnx,True,True,266,266,0,4016,81,4097,16.681989722453128,2751,5708d9056915de3402459e5b2cea8454a84d39dbecbe9fc2be4804e92f3ed9fe,,0,False
task015,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task015.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task015.onnx,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,analysis_only_do_not_copy_or_submit_archive_model,1,1,900,0,900,Conv,Conv:1,10,3774,1,1,900,0,900,Conv,Conv:1,10,3774,task015,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task015.onnx,True,True,265,265,0,0,900,900,18.197605236675688,3774,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,,task015,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task015.onnx,True,True,265,265,0,0,900,900,18.197605236675688,3774,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,,0,False
task016,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task016.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task016.onnx,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,analysis_only_do_not_copy_or_submit_archive_model,1,1,10,0,10,Gather,Gather:1,13,158,1,1,10,0,10,Gather,Gather:1,13,158,task016,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task016.onnx,True,True,267,267,0,0,10,10,22.697414907005953,158,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,,task016,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task016.onnx,True,True,267,267,0,0,10,10,22.697414907005953,158,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,,0,False
task017,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task017.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task017.onnx,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,analysis_only_do_not_copy_or_submit_archive_model,28,14,1704,0,1704,Equal,Add:3;ArgMax:2;Cast:5;Div:1;Equal:2;Gather:4;GatherND:1;MatMulInteger:1;Mod:3;Mul:2;Pad:1;Squeeze:1;Sub:2,18,6229,28,14,1704,0,1704,Equal,Add:3;ArgMax:2;Cast:5;Div:1;Equal:2;Gather:4;GatherND:1;MatMulInteger:1;Mod:3;Mul:2;Pad:1;Squeeze:1;Sub:2,18,6229,task017,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task017.onnx,True,True,266,266,0,4749,1704,6453,16.22769958206416,6229,611d383bff27797717269b900f3b84ea496ccc1f52e10daeaee74bc890b37d7a,,task017,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task017.onnx,True,True,266,266,0,4749,1704,6453,16.22769958206416,6229,611d383bff27797717269b900f3b84ea496ccc1f52e10daeaee74bc890b37d7a,,0,False
task018,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task018.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task018.onnx,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,analysis_only_do_not_copy_or_submit_archive_model,673,41,692,0,692,Equal,Add:104;And:12;ArgMax:10;Cast:79;Clip:58;Concat:8;Conv:1;Div:11;Equal:52;Floor:9;Gather:43;Greater:10;GreaterOrEqual:9;MaxPool:7;Mod:11;Mul:94;Pad:1;ReduceMax:6;ReduceSum:5;Reshape:20;ScatterND:1;Slice:4;Sub:68;Sum:4;TopK:5;Where:41,16,74228,673,41,692,0,692,Equal,Add:104;And:12;ArgMax:10;Cast:79;Clip:58;Concat:8;Conv:1;Div:11;Equal:52;Floor:9;Gather:43;Greater:10;GreaterOrEqual:9;MaxPool:7;Mod:11;Mul:94;Pad:1;ReduceMax:6;ReduceSum:5;Reshape:20;ScatterND:1;Slice:4;Sub:68;Sum:4;TopK:5;Where:41,16,74228,task018,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task018.onnx,True,True,266,266,0,23668,692,24360,14.899302278176167,74228,3fea9048baab0c6e5f1c67f00dcc73ed0ec8d89fa503308573157ed89a2726cc,,task018,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task018.onnx,True,True,266,266,0,23668,692,24360,14.899302278176167,74228,3fea9048baab0c6e5f1c67f00dcc73ed0ec8d89fa503308573157ed89a2726cc,,0,False
task019,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task019.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task019.onnx,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,analysis_only_do_not_copy_or_submit_archive_model,30,15,82,0,82,Equal,Add:2;And:2;Cast:4;Equal:2;Gather:2;Less:2;Mod:2;Pad:1;QLinearConv:1;ReduceMax:3;ReduceSum:2;Sign:1;Slice:1;Squeeze:2;Where:3,12,1868,30,15,82,0,82,Equal,Add:2;And:2;Cast:4;Equal:2;Gather:2;Less:2;Mod:2;Pad:1;QLinearConv:1;ReduceMax:3;ReduceSum:2;Sign:1;Slice:1;Squeeze:2;Where:3,12,1868,task019,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task019.onnx,True,True,267,267,0,2421,82,2503,17.174754708568226,1868,08b1945d9ee9171968479c8f21430bade488d64ebe17970eed84adff0888dd1f,,task019,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task019.onnx,True,True,267,267,0,2421,82,2503,17.174754708568226,1868,08b1945d9ee9171968479c8f21430bade488d64ebe17970eed84adff0888dd1f,,0,False
task020,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task020.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task020.onnx,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,analysis_only_do_not_copy_or_submit_archive_model,32,13,307,0,307,ScatterND,Add:2;ArgMax:3;ArgMin:1;Cast:5;Concat:5;Einsum:1;Flatten:1;Gather:4;GatherND:1;ReduceMax:3;ReduceMin:1;ScatterND:1;Sign:2;Slice:1;Sub:1,14,3747,39,19,152,0,152,ScatterND,Add:6;ArgMax:3;Cast:6;Concat:5;Gather:3;GatherND:1;Less:2;Mul:1;ReduceMin:2;ReduceSum:1;Reshape:3;ScatterND:1;Slice:4;TopK:1,17,3335,task020,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task020.onnx,True,True,266,266,0,712,307,1019,18.073422966777276,3747,d3c6ee8b7b082f80d94dd463de68edf8a4bda5a89715ea824d497ccd14a19e67,,task020,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task020.onnx,True,True,266,266,0,1104,152,1256,17.864312652971854,3335,f7db49fb30f6b2eff78ce6c117efd540906d9d1a5fe12062ca9dcf9bbb6ee009,,-237,True
