task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task256,2114,2113,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task256.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task256.onnx,,unchanged,,,,,,,,,,,,,,,,
task263,539,670,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task263.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task263.onnx,,unchanged,,,,,,,,,,,,,,,,
task264,2329,2329,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task264.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task264.onnx,,unchanged,,,,,,,,,,,,,,,,
task276,10,10,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task276.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task276.onnx,,unchanged,,,,,,,,,,,,,,,,
task278,4505,4503,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task278.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task278.onnx,,unchanged,,,,,,,,,,,,,,,,
task282,446,446,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task282.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task282.onnx,,unchanged,,,,,,,,,,,,,,,,
task284,2501,3085,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task284.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task284.onnx,,unchanged,,,,,,,,,,,,,,,,
task286,26909,26879,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task286.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task286.onnx,crop_conv:1,rejected,task286,True,True,265,265,0,26064,815,26879,14.800899408435892,111700,453ec581a0c494ccd1b562f69de45e2c705a874f5681681cd3157030466989c4,,30,0,False
task287,190,910,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task287.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task287.onnx,,unchanged,,,,,,,,,,,,,,,,
task292,80,80,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task292.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task292.onnx,,unchanged,,,,,,,,,,,,,,,,
task296,90,314,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task296.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task296.onnx,,unchanged,,,,,,,,,,,,,,,,
task298,60,129,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task298.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task298.onnx,,unchanged,,,,,,,,,,,,,,,,
task301,1141,1141,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task301.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task301.onnx,,unchanged,,,,,,,,,,,,,,,,
task302,1774,1774,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task302.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task302.onnx,,unchanged,,,,,,,,,,,,,,,,
