task,parent_path,candidate_path,attempted,source_policy,parent_nodes,parent_initializers,parent_initializer_elements,variant_count,opportunities,status,parent_score_task,parent_score_path,parent_score_ok,parent_score_valid_all_checked,parent_score_examples_checked,parent_score_examples_passed,parent_score_examples_failed,parent_score_memory,parent_score_params,parent_score_cost,parent_score_points,parent_score_file_size,parent_score_sha256,parent_score_error,errors,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,candidate_graph_nodes,candidate_graph_initializers,candidate_graph_initializer_elements,selected_variant,selected_changes,delta_cost,delta_points,accepted
task021,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task021.onnx,,True,parent_only_no_archive,13,4,91,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task022,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task022.onnx,,True,parent_only_no_archive,4,8,738,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task023,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task023.onnx,,True,parent_only_no_archive,430,24,166,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task024,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task024.onnx,,True,parent_only_no_archive,1,2,56,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task025,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task025.onnx,,True,parent_only_no_archive,60,11,104,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task026,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task026.onnx,,True,parent_only_no_archive,2,2,60,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task027,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task027.onnx,,True,parent_only_no_archive,20,17,46,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task028,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task028.onnx,,True,parent_only_no_archive,1,3,168,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task029,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task029.onnx,,True,parent_only_no_archive,50,15,76,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task030,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task030.onnx,,True,parent_only_no_archive,26,16,199,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task031,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task031.onnx,,True,parent_only_no_archive,41,15,113,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task032,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task032.onnx,,True,parent_only_no_archive,1,2,910,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task033,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task033.onnx,,True,parent_only_no_archive,23,2,33,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task034,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task034.onnx,,True,parent_only_no_archive,16,16,161,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task035,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task035.onnx,,True,parent_only_no_archive,53,31,447,1,combined=unit_reduction_axes:2|init_cleanup:1,all_variants_failed,task035,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task035.onnx,True,True,266,266,0,1432,447,1879,17.461505000586534,6487,a53dd9f5852bc8e3b78a903c195c5b26bf44f8210abff5e3ed38fe7958cf9750,,"combined:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:Slice, node name: safe_name_37): [ShapeInferenceError] Input axes has incorrect length
(op_type:Slice, node name: safe_name_38): [ShapeInferenceError] Input axes has incorrect length
(op_type:ReduceSum, node name: safe_name_39): [TypeInferenceError] Input 0 expected to have type but instead is null
(op_type:ReduceSum, node name: safe_name_40): [TypeInferenceError] Input 0 expected to have type but instead is null
(op_type:Add, node name: safe_name_41): [TypeInferenceError] Input 0 expected to have type but instead is null
(op_type:Sub, node name: safe_name_43): [TypeInferenceError] Input 0 expected to have type but instead is null
",,,,,,,,,,,,,,,,,,,,,
task036,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task036.onnx,,True,parent_only_no_archive,51,18,114,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task037,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task037.onnx,,True,parent_only_no_archive,59,20,197,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task038,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task038.onnx,,True,parent_only_no_archive,6,9,50,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task039,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task039.onnx,,True,parent_only_no_archive,9,6,49,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task040,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task040.onnx,,True,parent_only_no_archive,1,9,190,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task041,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task041.onnx,,True,parent_only_no_archive,19,5,57,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task042,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task042.onnx,,True,parent_only_no_archive,11,14,318,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task043,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task043.onnx,,True,parent_only_no_archive,9,16,205,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
