task,variant,passed,checked,memory,params,cost,points,valid,artifact
task311,baseline,266,266,0,30,30,21.598802618337846,True,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task311.onnx
task311,horizontal_reflection,266,266,1440,18,1458,17.715179087431395,True,E:\kongming\NGC-work\workplace C\single_task\task311\onnx\task311_candidate.onnx
