task,variant,passed,checked,cost,points,valid,artifact
task301,baseline,266,266,1141,17.960339650137925,True,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task301.onnx
task301,direct_bar_masks,266,266,36751,14.488079284844872,True,E:\kongming\NGC-work\workplace C\single_task\task301\onnx\task301_candidate.onnx
