model,passed,checked,memory,params,cost,ok,artifact
baseline,266,266,0,300,300,True,E:\kagglegolf\submissions\candidates\GOLF_20260711_097_v96_plus_task132_task046\onnx\task108.onnx
slice_resize,266,266,17000,18,17018,True,E:\kongming\NGC-work\workplace C\single_task\task108\onnx\task108_slice_resize.onnx
