node_index,node_output,original_to,candidate_dtype,base_cost,candidate_cost,delta_cost,base_points,candidate_points,delta_points,status,verified_all
75,safe_name_125,6,float16,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,float,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,uint8,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,int8,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,uint16,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,int16,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,int64,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,bool,31938,,,14.628448198,,,score_error,False
101,safe_name_152,6,float16,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,float,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,uint8,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,int8,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,uint16,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,int16,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,int64,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,bool,31938,,,14.628448198,,,score_error,False
130,safe_name_182,6,float16,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,float,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,uint8,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,int8,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,uint16,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,int16,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,int64,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,bool,31938,,,14.628448198,,,score_error,False
159,safe_name_211,6,float16,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,float,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,uint8,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,int8,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,uint16,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,int16,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,int64,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,bool,31938,,,14.628448198,,,score_error,False
186,safe_name_238,6,float16,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,float,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,int8,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,uint16,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,int16,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,int32,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,int64,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,bool,31938,,,14.628448198,,,score_error,False
197,safe_name_249,2,float16,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,float,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,int8,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,uint16,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,int16,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,int32,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,int64,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,bool,31938,,,14.628448198,,,score_error,False
202,safe_name_255,2,float16,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,float,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,int8,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,uint16,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,int16,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,int32,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,int64,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,bool,31938,,,14.628448198,,,score_error,False
208,safe_name_261,2,float16,31938,,,14.628448198,,,score_error,False
