task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_latest_low20_20260626\task118.onnx,True,False,3,3,0,37649,4769,42418,14.344671920564709,40188,6ba95179f5d5db62ef5e74d784f41f0f2b1e527781f70a03df5e9061e65f70a4,,6ba95179f5d5db62ef5e74d784f41f0f2b1e527781f70a03df5e9061e65f70a4
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_latest_low20_20260626\task133.onnx,True,False,3,3,0,32294,1288,33582,14.578254511880585,21857,05c3e4aa03253c73d680c794bdc87d574047f88a5bd5cc0cb95f9964c1568350,,05c3e4aa03253c73d680c794bdc87d574047f88a5bd5cc0cb95f9964c1568350
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\eliminate_deadend\task118.onnx,True,False,3,3,0,116134,142,116276,13.336278045643674,4390,217a2a445e57899cfbcf179488e972824e7ad371c1f4a045cf7ade1abd8dedc0,,217a2a445e57899cfbcf179488e972824e7ad371c1f4a045cf7ade1abd8dedc0
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\eliminate_duplicate_initializer\task133.onnx,True,False,3,3,0,196254,426,196680,12.810666678474124,9860,5687c680c3dc47595c1351df2320ec8fd8330dbc41cf1ef38c4547d11c2ee2f4,,5687c680c3dc47595c1351df2320ec8fd8330dbc41cf1ef38c4547d11c2ee2f4
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task118.onnx,False,False,1,0,1,170144,142,170286,12.95476534459694,4440,955de376305244fe538675be39ce471c9d0ccc6d03b9d37c7fea7b47e4bee630,,955de376305244fe538675be39ce471c9d0ccc6d03b9d37c7fea7b47e4bee630
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task133.onnx,False,False,1,0,1,241254,480,241734,12.60440677294918,10326,37ad546312830d6d91ce528669d780acc14afdf9b1b7f3c917f90f41e1b30646,,37ad546312830d6d91ce528669d780acc14afdf9b1b7f3c917f90f41e1b30646
task174,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task174.onnx,False,False,1,0,1,123945,74,124019,13.27180994134425,61847,99face162bd7399e9ed3df1a11ae7ed1749f0473c58d57226e8358e6b0847edf,,99face162bd7399e9ed3df1a11ae7ed1749f0473c58d57226e8358e6b0847edf
task249,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task249.onnx,False,False,1,0,1,62676,323,62999,13.949125867768181,1920,948a63f6bc808ef62c9dcebd8cfa5aad2604d446bd0bb912e62d05d968643983,,948a63f6bc808ef62c9dcebd8cfa5aad2604d446bd0bb912e62d05d968643983
task315,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task315.onnx,False,False,1,0,1,81540,17,81557,13.690942558724746,1175,e8680d94620d2c450497e06c131fe50756c3c6ef61f189951d428b5ead09151d,,e8680d94620d2c450497e06c131fe50756c3c6ef61f189951d428b5ead09151d
task321,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task321.onnx,False,False,1,0,1,59376,135,59511,14.006083551603782,1745,a3c7358ad77d85fe8e01b0503ed7cf5bcc0c464885bc1156603de521e5b0cd2f,,a3c7358ad77d85fe8e01b0503ed7cf5bcc0c464885bc1156603de521e5b0cd2f
