suite,cases,passed,failed,max_input_shape,max_observed_output_area_shape,theoretical_extreme_output_shape,notes
arc_gen_new_random_seeds_10000_14999,5000,5000,0,26x25,22x22,24x23,214 distinct output shapes
explicit_generator_extremes,16,16,0,26x25,24x23,24x23,4 active directions times 4 draw orders
