task,path,status,arc_agi_pass,arc_agi_fail,arc_gen_pass,arc_gen_fail,memory,params,cost,points,filesize,error
233,F:\kaggle\neurogolf-2026\external\datasets_v5\xxxtetantion_allsources\sources\kojimar_ov\task233.onnx,ok,4,0,262,0,62995,644,63639,13.93901823105954,18391,
233,F:\kaggle\neurogolf-2026\external\datasets_v5\xxxtetantion_allsources\sources\kokinn\task233.onnx,ok,4,0,262,0,75000,1063,76063,13.760682776750228,23912,
233,F:\kaggle\neurogolf-2026\external\datasets_v5\xxxtetantion_allsources\sources\tonylica\task233.onnx,ok,4,0,262,0,69136,14404,83540,13.666919161948833,39953,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\medal-solvers\onnxsim\task233.onnx,ok,4,0,262,0,3558406,124459,3682865,9.8807984601455,938654,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-6259\submission\task233.onnx,ok,4,0,262,0,1444504,6258,1450762,10.81240050639769,271505,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-6273\task233.onnx,ok,4,0,262,0,1646585,10142,1656727,10.679645472747369,312152,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-6275\task233.onnx,ok,4,0,262,0,1643146,1637,1644783,10.686880981413543,193649,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-V131\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-v145\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-v174\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-v185\task233.onnx,ok,4,0,262,0,1646585,10142,1656727,10.679645472747369,312152,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-v188\task233.onnx,ok,4,0,262,0,1646585,10142,1656727,10.679645472747369,312152,
233,F:\kaggle\neurogolf-2026\external\hf\rogermt_neurogolf_solver\unzipped_submission-v193\task233.onnx,ok,4,0,262,0,1643146,1637,1644783,10.686880981413543,193649,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\afr1ste_neurogolf_6335_19_controlled_public_artifact\task233.onnx,ok,4,0,262,0,10454414,83441,10537855,8.82951543007,378176,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\arman1o1_neurogolf_v7_submission\task233.onnx,ok,4,0,262,0,124042,1051,125093,13.263187260346362,42237,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\beicicc_neurogolf_6202_73_open_submission_artifact\submission\task233.onnx,ok,4,0,262,0,10454414,83441,10537855,8.82951543007,378176,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\beicicc_neurogolf_6233_36_open_submission_artifact\submission\task233.onnx,ok,4,0,262,0,10454414,83441,10537855,8.82951543007,378176,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\biohack44_neurogolf_6067_locked\task233.onnx,ok,4,0,262,0,4754696,142200,4896896,9.595887907033406,924434,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\biohack44_neurogolf_6113_bundle\task233.onnx,ok,4,0,262,0,4754696,142960,4897656,9.595732718720246,938774,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\franksunp_neurogolf_6410_86_compact_onnx_assets\submission\task233.onnx,ok,4,0,262,0,78400,1063,79463,13.7169532164989,23998,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\franksunp_neurogolf_6422_17_compact_onnx_assets\submission\task233.onnx,ok,4,0,262,0,78240,1063,79303,13.718968762071198,23972,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\franksunp_neurogolf_6424_02_compact_onnx_assets\submission\task233.onnx,ok,4,0,262,0,75000,1063,76063,13.760682776750228,23912,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\jonathanchan_sub4971_98\task233.onnx,ok,4,0,262,0,69136,14404,83540,13.666919161948833,39953,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\jonathanchan_sub4979_07\task233.onnx,ok,4,0,262,0,69136,14404,83540,13.666919161948833,39953,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\jsrdcht_neurogolf_6029_submission_bundle\task233.onnx,ok,4,0,262,0,4754696,142960,4897656,9.595732718720246,938774,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\kojimar_neurogolf_6272_50_minimal_onnx_assets_v1\base_submission\task233.onnx,ok,4,0,262,0,4754696,142960,4897656,9.595732718720246,938710,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\kojimar_neurogolf_6272_50_minimal_onnx_assets_v1\overrides\task233.onnx,ok,4,0,262,0,1646585,10142,1656727,10.679645472747369,312152,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\kokinnwakashuu_neurogolf_6406_16_onnx_assets\task233.onnx,ok,4,0,262,0,78400,1063,79463,13.7169532164989,23998,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\konbu17_neurogolf_2026_blend_source_v3_6_0\task233.onnx,ok,4,0,262,0,61136,14406,75542,13.767555928044851,39834,
233,F:\kaggle\neurogolf-2026\external\kaggle_datasets\konbu17_neurogolf_2026_blended_401_v117\task233.onnx,ok,4,0,262,0,10454414,83441,10537855,8.82951543007,378176,
