task,assignment_type,ok,examples_checked,examples_passed,memory,params,cost,points,sha256,path,error
task235,primary,True,69,69,48,81,129,20.140187595638327,998646f17484c50b2d2fac559a4d31c478b855ce7799659b92c8f53e04757208,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task235.onnx,
task240,primary,True,266,266,0,468,468,18.851531704082355,e9aeff6e099014ff58b77a324f6da45af8f60d07c1dc0ba486776503cb8eb88b,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task240.onnx,
task248,primary,True,13,13,122,29,151,19.982720163185075,6a001ce01217f4e505777fb369eb36ec242ffdc413030285fdb28dc76479d892,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task248.onnx,
task250,primary,True,265,265,2052,69,2121,17.34035704543532,23b81a27a8b0e32fbec2e224c57c1452011fafc4e9770354632dd8ce6b2c311c,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task250.onnx,
task254,primary,True,265,265,88,166,254,19.462665732981463,d71b4cb3ec548150846dbf5b14a8c50d2356dd300882cbb118e02ec52f77f5e1,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task254.onnx,
task257,primary,True,269,269,0,114,114,20.263801551605503,32e5452b9089ab217e13dc4aac064b7807f9397603a66e5a5a945ffa3b0f5ef6,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task257.onnx,
task259,primary,True,266,266,844,48,892,18.206533867419992,ead29447a4fa3c5e1bf6a699475bc34622d4f75b9823a496f049a2b05b75b532,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task259.onnx,
task267,primary,True,264,264,724,34,758,18.36931661435763,468c597a53bcce31d1460f96e1c03e6f66589982c93e5024c036bd190d2f2478,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task267.onnx,
task268,primary,True,266,266,2940,53,2993,16.9959684921473,badf6d0c30a4eb0ff41144b9c46b30186cbea1c005b4ec1afff5741f0cf8d326,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task268.onnx,
task271,primary,True,267,267,1141,46,1187,17.92081560539033,7421c21c0b38642b544ee56b1583efe0920c27d9393a54e6855d4e5cbf5a1979,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task271.onnx,
task273,primary,True,266,266,0,580,580,18.636971896459535,c39dacb005981d5f5ddd98561f782c298008218294a45a313cf67d92504cb181,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task273.onnx,
task275,primary,True,266,266,493,856,1349,17.792881143792243,4c5e0e14bbe655f4617ef9ad8238d1293a91747f5b41347ec8f10835a45b887a,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task275.onnx,
task294,primary,True,265,265,500,101,601,18.601405065464792,d54c717eade7afa6f3830590d1aa6ba498c7bec264f5425bca3fab105b967924,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task294.onnx,
task299,primary,True,21,21,0,50,50,21.087976994571854,63937e8cccb8a0981bf1e4606b6807083bfab548f949e29a4243abf836467c24,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task299.onnx,
task305,primary,True,266,266,296,340,636,18.544801436659878,52407df10596663f64b88d9a4a4aea2a4bfbf0078de38816663ed344165e3bbf,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task305.onnx,
task321,primary,True,267,267,0,180,180,19.807043149109788,5ce4cbdc653f2339cbdf91853e67c2f4f9dec1d83a993c730da26fe9ec148e68,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task321.onnx,
task324,primary,True,266,266,7049,1586,8635,15.93642100941922,f0cf47911050e8a4817a795736a4023afdbcd6f819eceefacc20e5348fa7565d,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task324.onnx,
task329,primary,True,266,266,1021,29,1050,18.04345455684843,02dd5cdee77f7ecc1b20a46e6dec17a2e8404b6dc7b8fd59d7c8c8f69d2e7b78,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task329.onnx,
task333,primary,True,265,265,2340,61,2401,17.216359403778746,82f44847be0cc7a25b720d83a0b860272aa4c99a2a2632f01002843fb47b2e16,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task333.onnx,
task336,primary,True,31,31,764,1056,1820,17.493408219929158,8cffed4ad33ff1d68d4750b91ab147cbbf6d0ed96755ffa405c9c255ef1372c9,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task336.onnx,
task343,primary,True,266,266,1171,368,1539,17.66111186616112,2910f35126f46caf36c68c4e769c16d7bfc0155c8624786d2957e57804744f70,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task343.onnx,
task354,primary,True,266,266,1990,74,2064,17.367598873398546,051af87bad4927423d8d962c8cc0fe0cd645b5abd69e89a4f6105d9d0191e11e,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task354.onnx,
task355,primary,True,267,267,264,10,274,19.38687189361193,caabdaae57238c64eb65c1bbc8fc090bd2c127f6d9b850fa9580178d82ea3909,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task355.onnx,
task370,primary,True,266,266,3108,499,3607,16.80936831909646,c5a03117601f462483d58aa02b9006f792e53b9c77502fd501481d1ad84d89c0,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task370.onnx,
task385,primary,True,265,265,0,30,30,21.598802618337846,629a5673b6a8e745a4c5b1b5afcf3c5e7214f2fd7c54d7f5da27eb3e788ea5d1,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task385.onnx,
task394,primary,True,266,266,460,59,519,18.748096116834112,56cb92840dcb831df0e040ea5db63137708fd98cf404ed180bfa2fada0817f02,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task394.onnx,
task396,primary,True,266,266,3481,78,3559,16.822765114489805,9c14c7589a9bd9d4e0c801267a9e034cf9ff0535419a409e35e5acd812e071de,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task396.onnx,
