task,path,status,arc_agi_pass,arc_agi_fail,arc_gen_pass,arc_gen_fail,memory,params,cost,points,filesize,error
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_predict\task233.onnx,error,0,0,0,0,,,,,293996,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | ValueError: Required inputs (['safe_name_0', 'safe_name_1', 'safe_name_2', 'safe_name_3', 'safe_name_4', 'safe_name_5', 'safe_name_6', 'safe_name_7', 'safe_name_8', 'safe_name_9', 'safe_name_10', 'safe_name_11', 'safe_name_12', 'safe_name_13', 'safe_name_14', 'safe_name_15', 'safe_name_16', 'safe_name_17', 'safe_name_18', 'safe_name_19', 'safe_name_20', 'safe_name_21', 'safe_name_22', 'safe_name_23', 'safe_name_24', 'safe_name_25', 'safe_name_26', 'safe_name_27', 'safe_name_28', 'safe_name_29', 'safe_name_30', 'safe_name_31', 'safe_name_32', 'safe_name_33', 'safe_name_34', 'safe_name_35', 'safe_name_36', 'safe_name_37', 'safe_name_38', 'safe_name_39', 'safe_name_40', 'safe_name_41', 'safe_name_42', 'safe_name_43', 'safe_name_44', 'safe_name_45', 'safe_name_46', 'safe_name_47', 'safe_name_48', 'safe_name_49', 'safe_name_50', 'safe_name_51', 'safe_name_52', 'safe_name_53', 'safe_name_54', 'safe_name_55', 'safe_name_56', 'safe_name_57', 'safe_name_58', 'safe_name_59', 'safe_name_60', 'safe_name_61', 'safe_name_62', 'safe_name_63', 'safe_name_64', 'safe_name_65', 'safe_name_66', 'safe_name_67', 'safe_name_68', 'safe_name_69', 'safe_name_70', 'safe_name_71', 'safe_name_72', 'safe_name_73', 'safe_name_74', 'safe_name_75', 'safe_name_76', 'safe_name_77', 'safe_name_78', 'safe_name_79', 'safe_name_80', 'safe_name_81', 'safe_name_82', 'safe_name_83', 'safe_name_84', 'safe_name_85', 'safe_name_86', 'safe_name_87', 'safe_name_88', 'safe_name_89', 'safe_name_90', 'safe_name_91', 'safe_name_92', 'safe_name_93', 'safe_name_94', 'safe_name_95', 'safe_name_96', 'safe_name_97', 'safe_name_98', 'safe_name_99', 'safe_name_100', 'safe_name_101', 'safe_name_102', 'safe_name_103', 'safe_name_104', 'safe_name_105', 'safe_name_106', 'safe_name_107', 'safe_name_108', 'safe_name_109', 'safe_name_110', 'safe_name_111', 'safe_name_112', 'safe_name_113', 'safe_name_114', 'safe_name_115', 'safe_name_116', 'safe_name_117', 'safe_name_118', 'safe_name_119', 'safe_name_120', 'safe_name_121', 'safe_name_122', 'safe_name_123', 'safe_name_124', 'safe_name_125', 'safe_name_126', 'safe_name_127', 'safe_name_128', 'safe_name_129', 'safe_name_130', 'safe_name_131', 'safe_name_132', 'safe_name_133', 'safe_name_134', 'safe_name_135', 'safe_name_136', 'safe_name_137', 'safe_name_138', 'safe_name_139', 'safe_name_140', 'safe_name_141', 'safe_name_142', 'safe_name_143', 'safe_name_144', 'safe_name_145', 'safe_name_146', 'safe_name_147', 'safe_name_148', 'safe_name_149', 'safe_name_150', 'safe_name_151', 'safe_name_152', 'safe_name_153', 'safe_name_154', 'safe_name_155']) are missing from input feed (['input']). |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 157, in score_model |     row.arc_agi_pass, row.arc_agi_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003_best_fast\task233.onnx,ok,4,0,262,0,1647529,10151,1657680,10.679070407569036,313187,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v001\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v002_allpasses\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v138_default_all_v001\task233.onnx,ok,4,0,262,0,1444504,12251,1456755,10.808278082702646,283250,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v143_default_all_v001\task233.onnx,ok,4,0,262,0,602713,3690,606403,11.684699939472386,88881,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v145_default_all_v001\task233.onnx,ok,4,0,262,0,570517,2845,573362,11.740727441128433,86304,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_variant_a_task233_20260627\task233.onnx,ok,4,0,262,0,65101,644,65745,13.906461098478982,18984,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_all_v002_from_v118\task233.onnx,ok,4,0,262,0,1444504,12251,1456755,10.808278082702646,283250,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_highcost_v001\task233.onnx,ok,4,0,262,0,1444504,12251,1456755,10.808278082702646,283250,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_latest_low20_20260626\task233.onnx,ok,4,0,262,0,69906,644,70550,13.83592304271904,31431,
