source,kaggle_ref,zip_sha256,task,assignment_type,status,current_cost,candidate_cost,delta_cost,current_points,candidate_points,delta_points,improved,zip_path,error
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task333,primary,ok,3210,2401,809,16.925974,17.216359,0.290385,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task042,primary,ok,3110,3110,0,16.957622,16.957622,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task268,primary,ok,2993,2993,0,16.995968,16.995968,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task394,primary,ok,2774,676,2098,17.071954,18.483807,1.411853,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task354,primary,ok,2644,2218,426,17.119952,17.295639,0.175687,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task250,primary,ok,2516,2123,393,17.169574,17.339415,0.169841,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task012,primary,ok,2251,2251,0,17.280870,17.280870,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task273,primary,ok,2158,2027,131,17.323063,17.385688,0.062625,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task084,primary,ok,2038,2038,0,17.380276,17.380276,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task035,primary,ok,1905,1905,0,17.447763,17.447763,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task336,primary,ok,1820,1820,0,17.493408,17.493408,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task051,primary,ok,1744,1744,0,17.536063,17.536063,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task033,primary,ok,1639,1639,0,17.598158,17.598158,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task343,primary,ok,1539,1539,0,17.661112,17.661112,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task240,primary,ok,1475,1475,0,17.703587,17.703587,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task013,primary,ok,1424,1424,0,17.738775,17.738775,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task275,primary,ok,1356,1356,0,17.787706,17.787706,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task078,primary,ok,1293,1293,0,17.835280,17.835280,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task271,primary,ok,1187,1187,0,17.920816,17.920816,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task329,primary,ok,1050,1050,0,18.043455,18.043455,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
