task,variant,passed,checked,cost,points,valid,artifact
task178,baseline,268,268,762,18.364053444313353,True,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task178.onnx
task178,argmax_compress,268,268,73884,13.78974842530079,True,E:\kongming\NGC-work\workplace C\single_task\task178\onnx\task178_candidate.onnx
