model,passed,checked,memory,params,cost,points,ok,artifact,notes
baseline,267,267,165,100,265,19.42027017401378,True,E:\kagglegolf\submissions\candidates\GOLF_20260711_097_v96_plus_task132_task046\onnx\task146.onnx,single dense color-position checksum Conv
low_width_exact_checksum,267,267,273,29,302,19.28957298262513,True,E:\kongming\NGC-work\workplace C\single_task\task146\onnx\task146_candidate.onnx,"coefficients=(1, 2, 4); examples=267"
