model,passed,checked,memory,params,cost,ok,artifact
baseline,267,267,165,100,265,True,E:\kagglegolf\submissions\candidates\GOLF_20260711_097_v96_plus_task132_task046\onnx\task146.onnx
asymmetry_rule,267,267,7717,48,7765,True,E:\kongming\NGC-work\workplace C\single_task\task146\onnx\task146_asymmetry.onnx
