task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task264,2329,17.246806,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task264.onnx,18f2b72ad00aadc4f909aaf0bfe9e5b9fcf568b8bd295f8c36e529b5b2f4a237,8422,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_30'
task282,446,18.899681,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task282.onnx,71f0dde46f0325c9b51eb1e9f10077f0a9f6ea3bc91e18f4c02fe74ffbfb7942,698,True,446,18.899681047979936,0,4.7979934691966264e-08,
task287,1994,17.402102,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task287.onnx,0d4f96eb80efe39c46a91934171d89f353faeabefcc1942c6e767fb2d2079b0b,3827,True,910,18.186555400489105,-1084,0.784453400489106,
task292,80,20.617973,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task292.onnx,f5dbb65451bb16d37f5e44041120e559dd95ac030ffb9d13dc5ac7c8850119d5,499,True,80,20.61797336532612,0,3.653261195779578e-07,
task296,314,19.250607,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task296.onnx,5d67759a3a2da2950e431668a7a26c781b5b966139422e64672db145b6405158,3893,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_64'
task314,100,20.39483,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task314.onnx,91294db3a76db1cf55efd0eeb6e6c475503684a7d282ec1b5611be5a48729242,625,True,100,20.394829814011906,0,-1.8598809248260295e-07,
task331,910,18.186555,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task331.onnx,159b7db4377d2a7d75a15aa8f84344e6d919741566944220da8f361aa1da572a,3836,True,910,18.186555400489105,0,4.0048910676659943e-07,
task353,244,19.502832,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task353.onnx,aca31888d6a834f7b63c41dc1e48addce3f44ca64537d5351f9ba073bc41b18b,1438,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Add(14) node with name 'safe_name_15'
task357,291,19.326677,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task357.onnx,aa2e6a783ee448c5920f430044b4d60e7f1b24865562c676d93c8c3237168058,926,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Div(14) node with name 'safe_name_8'
task358,4027,16.699223,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task358.onnx,f5fd5ba0f5d9b4520f86ea93fc857886a3d3b9dd621e6e1761a8a5d1e29e57c8,2819,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_60'
