task,priority,base_cost,base_points,candidate_cost,candidate_points,delta_cost,delta_points,source,source_kind,source_member,sha256,bytes,optimized_path
task029,P1_16_16p7,5288,16.426805,5284,16.427561334357783,-4,0.0007563343577814408,work/final-v155-legacy-pass2-on-v154/task029.onnx,file,,9ceba2b29239999b047e47ac3f2c934af74bd7678676ff0d5a8ae96f6a2edb63,2328,workplace D/optimized_onnx/task029.onnx
task055,P2_16p7_17p5,3141,16.947704,1856,17.473821086653853,-1285,0.5261170866538514,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task055.onnx,zip,task055.onnx,7e3cc516ccc7486e4ee95167d26e964e32d31e83984baae7c5119b887a42367c,1187,workplace D/optimized_onnx/task055.onnx
task105,P2_16p7_17p5,2941,17.013495,2866,17.039327391611884,-75,0.02583239161188544,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task105.onnx,zip,task105.onnx,86c81fad43e9648106b29e47fc765754fd00c9fccf23644a29295cad7f02923a,5536,workplace D/optimized_onnx/task105.onnx
task115,P3_ge17p5,1043,18.050144,1014,18.078341815848873,-29,0.028197815848873375,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task115.onnx,zip,task115.onnx,1be939c365ee5190188ef9646358ee3344b8c82ee4f952a3ac47579a00d7b9e5,2623,workplace D/optimized_onnx/task115.onnx
task200,P3_ge17p5,753,18.375935,623,18.565453481212547,-130,0.18951848121254855,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task200.onnx,zip,task200.onnx,7e3bb18aeda43f3dcda7c32be0f4a3af7bbf9e93d4617bcb30b2cd2ee4a62d52,1134,workplace D/optimized_onnx/task200.onnx
task256,P2_16p7_17p5,2251,17.28087,2114,17.343662833569816,-137,0.0627928335698158,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task256.onnx,zip,task256.onnx,8af38895d1672b55cb529d5e1e94e5e4ca8be69d25c4967372fc072eba6dd9e4,1290,workplace D/optimized_onnx/task256.onnx
task287,P2_16p7_17p5,1994,17.402102,910,18.186555400489105,-1084,0.784453400489106,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip,zip,task287.onnx,0d4f96eb80efe39c46a91934171d89f353faeabefcc1942c6e767fb2d2079b0b,3827,workplace D/optimized_onnx/task287.onnx
task400,P3_ge17p5,1181,17.925883,1102,17.99511801028714,-79,0.06923501028714085,work/public-kernel-outputs/latest_ryosuke_726683/submission.zip::task400.onnx,zip,task400.onnx,ecf33c5db5c12d2e4b9f13cc5d37ad7d1afb945dfd0cb2d31a39447de077f767,865,workplace D/optimized_onnx/task400.onnx
