model,method,passed,checked,memory,params,cost,points,delta_cost,delta_points,local_valid,accepted,artifact
baseline,templ_scalar_einsum,265,265,1326,161,1487,17.695484053539843,0,0.0,true,false,E:/kagglegolf/submissions/downloaded_best/submission4_20260712_1812/task075.onnx
candidate,rank1_crop_conv_and_marker_stride_crop,265,265,1326,68,1394,17.760067408679532,-93,0.064583355139689,true,true,workplace C/single_task/task075/onnx/task075_candidate.onnx
