task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task097,B,same_shape_rules_fill,primary,P3_ge17p5,910,18.186555,0.000000,0.813445,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task098,E,public_source_ab_testing,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task099,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,1899,17.450917,0.549083,1.549083,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task100,A,shape_relayout_high_cost,primary,P3_ge17p5,359,19.116678,0.000000,0.000000,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task101,B,same_shape_rules_fill,primary,P0_lt16,13725,15.473026,2.526974,3.526974,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task102,A,shape_relayout_high_cost,primary,P2_16p7_17p5,2527,17.165212,0.834788,1.834788,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task103,A,shape_relayout_high_cost,primary,P3_ge17p5,60,20.905655,0.000000,0.000000,shape_change,shrink,new_output_colors,223,scripts/v244_costs.txt,
task104,B,same_shape_rules_fill,primary,P3_ge17p5,238,19.527729,0.000000,0.000000,shape_change,grow,input_palette_only,7,scripts/v244_costs.txt,
task105,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,2941,17.013495,0.986505,1.986505,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task106,D,mid_low_score_rule_mining,primary,P3_ge17p5,626,18.560650,0.000000,0.439350,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task107,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,3681,16.789060,1.210940,2.210940,shape_change,grow,new_output_colors,266,scripts/v244_costs.txt,
task108,C,onnx_equiv_compression,primary,P3_ge17p5,300,19.296218,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task109,F,tail_validation_packaging,primary,P3_ge17p5,1645,17.594504,0.405496,1.405496,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task110,E,public_source_ab_testing,primary,P0_lt16,10572,15.734036,2.265964,3.265964,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task111,A,shape_relayout_high_cost,primary,P3_ge17p5,309,19.266659,0.000000,0.000000,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task112,F,tail_validation_packaging,primary,P3_ge17p5,1768,17.522396,0.477604,1.477604,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task113,C,onnx_equiv_compression,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task114,D,mid_low_score_rule_mining,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,shape_change,grow,new_output_colors,266,scripts/v244_costs.txt,
task115,D,mid_low_score_rule_mining,primary,P3_ge17p5,1043,18.050144,0.000000,0.949856,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task116,F,tail_validation_packaging,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task117,F,tail_validation_packaging,primary,P1_16_16p7,4088,16.684189,1.315811,2.315811,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task118,E,public_source_ab_testing,primary,P0_lt16,12282,15.584110,2.415890,3.415890,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task119,F,tail_validation_packaging,primary,P3_ge17p5,1363,17.782557,0.217443,1.217443,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task120,A,shape_relayout_high_cost,primary,P3_ge17p5,910,18.186555,0.000000,0.813445,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task121,C,onnx_equiv_compression,primary,P3_ge17p5,326,19.213103,0.000000,0.000000,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task122,A,shape_relayout_high_cost,primary,P3_ge17p5,810,18.302966,0.000000,0.697034,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task123,B,same_shape_rules_fill,primary,P3_ge17p5,1342,17.798084,0.201916,1.201916,shape_change,grow,input_palette_only,265,scripts/v244_costs.txt,
task124,A,shape_relayout_high_cost,primary,P2_16p7_17p5,1953,17.422878,0.577122,1.577122,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task125,B,same_shape_rules_fill,primary,P2_16p7_17p5,3463,16.850109,1.149891,2.149891,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task126,A,shape_relayout_high_cost,primary,P3_ge17p5,605,18.594772,0.000000,0.405228,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task127,D,mid_low_score_rule_mining,primary,P3_ge17p5,396,19.018586,0.000000,0.000000,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task128,B,same_shape_rules_fill,primary,P3_ge17p5,136,20.087345,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task129,E,public_source_ab_testing,primary,P3_ge17p5,80,20.617973,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task130,E,public_source_ab_testing,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task131,B,same_shape_rules_fill,primary,P2_16p7_17p5,3976,16.711968,1.288032,2.288032,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task132,C,onnx_equiv_compression,primary,P1_16_16p7,4089,16.683944,1.316056,2.316056,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task133,D,mid_low_score_rule_mining,primary,P0_lt16,21278,15.034571,2.965429,3.965429,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task134,B,same_shape_rules_fill,primary,P3_ge17p5,1529,17.667631,0.332369,1.332369,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task135,E,public_source_ab_testing,primary,P3_ge17p5,200,19.701683,0.000000,0.000000,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task136,F,tail_validation_packaging,primary,P3_ge17p5,1194,17.914936,0.085064,1.085064,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task137,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,3526,16.832081,1.167919,2.167919,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task138,E,public_source_ab_testing,primary,P0_lt16,13005,15.526911,2.473089,3.473089,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task139,A,shape_relayout_high_cost,primary,P3_ge17p5,904,18.193171,0.000000,0.806829,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task140,B,same_shape_rules_fill,primary,P3_ge17p5,5,23.390562,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task141,C,onnx_equiv_compression,primary,P3_ge17p5,1383,17.767990,0.232010,1.232010,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task142,C,onnx_equiv_compression,primary,P3_ge17p5,90,20.500190,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task143,B,same_shape_rules_fill,primary,P3_ge17p5,837,18.270176,0.000000,0.729824,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task144,C,onnx_equiv_compression,primary,P3_ge17p5,104,20.355609,0.000000,0.000000,shape_change,shrink,new_output_colors,267,scripts/v244_costs.txt,
task145,D,mid_low_score_rule_mining,primary,P0_lt16,12855,15.538512,2.461488,3.461488,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task146,C,onnx_equiv_compression,primary,P3_ge17p5,267,19.412751,0.000000,0.000000,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task147,D,mid_low_score_rule_mining,primary,P3_ge17p5,532,18.723357,0.000000,0.276643,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task148,A,shape_relayout_high_cost,primary,P1_16_16p7,4887,16.505666,1.494334,2.494334,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task149,A,shape_relayout_high_cost,primary,P3_ge17p5,136,20.087345,0.000000,0.000000,shape_change,shrink,new_output_colors,267,scripts/v244_costs.txt,
task150,E,public_source_ab_testing,primary,P3_ge17p5,138,20.072746,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task151,B,same_shape_rules_fill,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task152,F,tail_validation_packaging,primary,P3_ge17p5,90,20.500190,0.000000,0.000000,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task153,D,mid_low_score_rule_mining,primary,P3_ge17p5,793,18.324177,0.000000,0.675823,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task154,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,2743,17.083193,0.916807,1.916807,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task155,D,mid_low_score_rule_mining,primary,P3_ge17p5,138,20.072746,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task156,F,tail_validation_packaging,primary,P3_ge17p5,1562,17.646278,0.353722,1.353722,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task157,D,mid_low_score_rule_mining,primary,P1_16_16p7,6847,16.168434,1.831566,2.831566,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task158,C,onnx_equiv_compression,primary,P0_lt16,28483,14.742937,3.257063,4.257063,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task159,C,onnx_equiv_compression,primary,P3_ge17p5,1568,17.642444,0.357556,1.357556,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task160,D,mid_low_score_rule_mining,primary,P3_ge17p5,1334,17.804063,0.195937,1.195937,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task161,B,same_shape_rules_fill,primary,P2_16p7_17p5,2131,17.335653,0.664347,1.664347,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task162,E,public_source_ab_testing,primary,P1_16_16p7,4068,16.689093,1.310907,2.310907,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task163,B,same_shape_rules_fill,primary,P3_ge17p5,1791,17.509471,0.490529,1.490529,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task164,D,mid_low_score_rule_mining,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task165,C,onnx_equiv_compression,primary,P1_16_16p7,4814,16.520716,1.479284,2.479284,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task166,D,mid_low_score_rule_mining,primary,P3_ge17p5,24,21.821946,0.000000,0.000000,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task167,D,mid_low_score_rule_mining,primary,P3_ge17p5,146,20.016393,0.000000,0.000000,same_shape,same_size,new_output_colors,268,scripts/v244_costs.txt,
task168,A,shape_relayout_high_cost,primary,P2_16p7_17p5,2237,17.287109,0.712891,1.712891,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task169,A,shape_relayout_high_cost,primary,P3_ge17p5,1670,17.579421,0.420579,1.420579,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task170,B,same_shape_rules_fill,primary,P2_16p7_17p5,2533,17.162840,0.837160,1.837160,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task171,F,tail_validation_packaging,primary,P3_ge17p5,759,18.367998,0.000000,0.632002,same_shape,same_size,new_output_colors,54,scripts/v244_costs.txt,
task172,B,same_shape_rules_fill,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task173,D,mid_low_score_rule_mining,primary,P0_lt16,13383,15.498259,2.501741,3.501741,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task174,E,public_source_ab_testing,primary,P1_16_16p7,4347,16.622759,1.377241,2.377241,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task175,B,same_shape_rules_fill,primary,P3_ge17p5,1255,17.865109,0.134891,1.134891,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task176,A,shape_relayout_high_cost,primary,P3_ge17p5,210,19.652892,0.000000,0.000000,same_shape,same_size,new_output_colors,25,scripts/v244_costs.txt,
task177,A,shape_relayout_high_cost,primary,P2_16p7_17p5,3619,16.806047,1.193953,2.193953,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task178,C,onnx_equiv_compression,primary,P3_ge17p5,762,18.364053,0.000000,0.635947,shape_change,shrink,input_palette_only,268,scripts/v244_costs.txt,
task179,F,tail_validation_packaging,primary,P0_check_score_anomaly,0,1.000000,17.000000,18.000000,same_shape,same_size,input_palette_only,267,reports/v241_deadnode_manifest_20260708.csv,score anomaly: absent from v244_costs; latest zip contains tiny ONNX; verify cost/points manually
task180,C,onnx_equiv_compression,primary,P3_ge17p5,210,19.652892,0.000000,0.000000,shape_change,shrink,input_palette_only,268,scripts/v244_costs.txt,
task181,B,same_shape_rules_fill,primary,P3_ge17p5,368,19.091917,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task182,D,mid_low_score_rule_mining,primary,P1_16_16p7,6095,16.284776,1.715224,2.715224,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task183,F,tail_validation_packaging,primary,P3_ge17p5,1024,18.068528,0.000000,0.931472,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task184,F,tail_validation_packaging,primary,P2_16p7_17p5,2039,17.379785,0.620215,1.620215,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task185,B,same_shape_rules_fill,primary,P2_16p7_17p5,1955,17.421855,0.578145,1.578145,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task186,F,tail_validation_packaging,primary,P3_ge17p5,103,20.365271,0.000000,0.000000,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task187,A,shape_relayout_high_cost,primary,P0_lt16,15790,15.332868,2.667132,3.667132,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task188,A,shape_relayout_high_cost,primary,P3_ge17p5,764,18.361432,0.000000,0.638568,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task189,F,tail_validation_packaging,primary,P3_ge17p5,892,18.206534,0.000000,0.793466,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task190,C,onnx_equiv_compression,primary,P2_16p7_17p5,2525,17.166004,0.833996,1.833996,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task191,F,tail_validation_packaging,primary,P0_lt16,11082,15.686923,2.313077,3.313077,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task192,E,public_source_ab_testing,primary,P1_16_16p7,6833,16.170481,1.829519,2.829519,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task193,C,onnx_equiv_compression,primary,P3_ge17p5,910,18.186555,0.000000,0.813445,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task194,C,onnx_equiv_compression,primary,P3_ge17p5,949,18.144591,0.000000,0.855409,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task195,E,public_source_ab_testing,primary,P3_ge17p5,921,18.174540,0.000000,0.825460,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task196,A,shape_relayout_high_cost,primary,P1_16_16p7,4536,16.580199,1.419801,2.419801,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task197,A,shape_relayout_high_cost,primary,P3_ge17p5,1141,17.960340,0.039660,1.039660,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task198,E,public_source_ab_testing,primary,P0_lt16,11410,15.657755,2.342245,3.342245,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task199,F,tail_validation_packaging,primary,P2_16p7_17p5,1829,17.488475,0.511525,1.511525,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task200,D,mid_low_score_rule_mining,primary,P3_ge17p5,753,18.375935,0.000000,0.624065,same_shape,same_size,new_output_colors,84,scripts/v244_costs.txt,
task201,C,onnx_equiv_compression,primary,P2_16p7_17p5,3349,16.883583,1.116417,2.116417,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task202,A,shape_relayout_high_cost,primary,P1_16_16p7,7804,16.037608,1.962392,2.962392,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task203,C,onnx_equiv_compression,primary,P3_ge17p5,355,19.127882,0.000000,0.000000,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task204,F,tail_validation_packaging,primary,P0_lt16,10232,15.766725,2.233275,3.233275,same_shape,same_size,new_output_colors,268,scripts/v244_costs.txt,
task205,B,same_shape_rules_fill,primary,P1_16_16p7,4891,16.504848,1.495152,2.495152,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task206,A,shape_relayout_high_cost,primary,P3_ge17p5,1787,17.511706,0.488294,1.488294,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task207,A,shape_relayout_high_cost,primary,P3_ge17p5,236,19.536168,0.000000,0.000000,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task208,B,same_shape_rules_fill,primary,P1_16_16p7,4189,16.659783,1.340217,2.340217,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task209,B,same_shape_rules_fill,primary,P1_16_16p7,7775,16.041331,1.958669,2.958669,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task210,A,shape_relayout_high_cost,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task211,A,shape_relayout_high_cost,primary,P3_ge17p5,270,19.401578,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task212,B,same_shape_rules_fill,primary,P2_16p7_17p5,2249,17.281759,0.718241,1.718241,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task213,A,shape_relayout_high_cost,primary,P2_16p7_17p5,1850,17.477059,0.522941,1.522941,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task214,A,shape_relayout_high_cost,primary,P3_ge17p5,525,18.736602,0.000000,0.263398,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task215,A,shape_relayout_high_cost,primary,P3_ge17p5,739,18.394702,0.000000,0.605298,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task216,E,public_source_ab_testing,primary,P0_lt16,9127,15.881008,2.118992,3.118992,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task217,D,mid_low_score_rule_mining,primary,P3_ge17p5,1470,17.706982,0.293018,1.293018,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task218,A,shape_relayout_high_cost,primary,P3_ge17p5,649,18.524567,0.000000,0.475433,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task219,D,mid_low_score_rule_mining,primary,P0_lt16,8739,15.924449,2.075551,3.075551,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task220,A,shape_relayout_high_cost,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task221,C,onnx_equiv_compression,primary,P3_ge17p5,805,18.309158,0.000000,0.690842,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task222,A,shape_relayout_high_cost,primary,P2_16p7_17p5,2733,17.086845,0.913155,1.913155,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task223,A,shape_relayout_high_cost,primary,P3_ge17p5,5,23.390562,0.000000,0.000000,shape_change,grow,input_palette_only,265,scripts/v244_costs.txt,
task224,C,onnx_equiv_compression,primary,P2_16p7_17p5,2829,17.052321,0.947679,1.947679,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task225,C,onnx_equiv_compression,primary,P3_ge17p5,1031,18.061716,0.000000,0.938284,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task226,D,mid_low_score_rule_mining,primary,P3_ge17p5,1534,17.664366,0.335634,1.335634,same_shape,same_size,new_output_colors,133,scripts/v244_costs.txt,
task227,E,public_source_ab_testing,primary,P3_ge17p5,100,20.394830,0.000000,0.000000,shape_change,shrink,new_output_colors,267,scripts/v244_costs.txt,
task228,B,same_shape_rules_fill,primary,P3_ge17p5,962,18.130986,0.000000,0.869014,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task229,D,mid_low_score_rule_mining,primary,P3_ge17p5,200,19.701683,0.000000,0.000000,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task230,C,onnx_equiv_compression,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task231,F,tail_validation_packaging,primary,P3_ge17p5,219,19.610928,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task232,D,mid_low_score_rule_mining,primary,P3_ge17p5,1410,17.748655,0.251345,1.251345,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task233,A,shape_relayout_high_cost,primary,P0_lt16,34400,14.554188,3.445812,4.445812,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task234,F,tail_validation_packaging,primary,P2_16p7_17p5,3567,16.820520,1.179480,2.179480,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task235,E,public_source_ab_testing,primary,P3_ge17p5,170,19.864202,0.000000,0.000000,shape_change,shrink,new_output_colors,69,scripts/v244_costs.txt,
task236,D,mid_low_score_rule_mining,primary,P3_ge17p5,126,20.163718,0.000000,0.000000,shape_change,shrink,new_output_colors,267,scripts/v244_costs.txt,
task237,C,onnx_equiv_compression,primary,P2_16p7_17p5,1836,17.484655,0.515345,1.515345,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task238,F,tail_validation_packaging,primary,P2_16p7_17p5,1935,17.432137,0.567863,1.567863,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task239,F,tail_validation_packaging,primary,P3_ge17p5,947,18.146701,0.000000,0.853299,shape_change,grow,new_output_colors,267,scripts/v244_costs.txt,
task240,E,public_source_ab_testing,primary,P3_ge17p5,1475,17.703587,0.296413,1.296413,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task241,F,tail_validation_packaging,primary,P0_check_score_anomaly,0,1.000000,17.000000,18.000000,same_shape,same_size,input_palette_only,266,reports/v241_deadnode_manifest_20260708.csv,score anomaly: absent from v244_costs; latest zip contains tiny ONNX; verify cost/points manually
task242,B,same_shape_rules_fill,primary,P3_ge17p5,431,18.933892,0.000000,0.066108,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task243,D,mid_low_score_rule_mining,primary,P0_lt16,13654,15.478212,2.521788,3.521788,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task244,B,same_shape_rules_fill,primary,P3_ge17p5,1179,17.927578,0.072422,1.072422,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task245,B,same_shape_rules_fill,primary,P2_16p7_17p5,2743,17.083193,0.916807,1.916807,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task246,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,2634,17.123741,0.876259,1.876259,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task247,B,same_shape_rules_fill,primary,P3_ge17p5,469,18.849397,0.000000,0.150603,shape_change,shrink,input_palette_only,269,scripts/v244_costs.txt,
task248,E,public_source_ab_testing,primary,P3_ge17p5,151,19.982720,0.000000,0.000000,same_shape,same_size,input_palette_only,13,scripts/v244_costs.txt,
task249,F,tail_validation_packaging,primary,P3_ge17p5,261,19.435480,0.000000,0.000000,shape_change,grow,input_palette_only,265,scripts/v244_costs.txt,
task250,E,public_source_ab_testing,primary,P2_16p7_17p5,2516,17.169574,0.830426,1.830426,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task251,D,mid_low_score_rule_mining,primary,P1_16_16p7,4920,16.498936,1.501064,2.501064,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task252,C,onnx_equiv_compression,primary,P3_ge17p5,180,19.807043,0.000000,0.000000,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task253,F,tail_validation_packaging,primary,P3_ge17p5,500,18.785392,0.000000,0.214608,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task254,E,public_source_ab_testing,primary,P3_ge17p5,687,18.467666,0.000000,0.532334,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task255,B,same_shape_rules_fill,primary,P0_lt16,8911,15.904958,2.095042,3.095042,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task256,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,2251,17.280870,0.719130,1.719130,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task257,E,public_source_ab_testing,primary,P3_ge17p5,400,19.008535,0.000000,0.000000,shape_change,shrink,input_palette_only,269,scripts/v244_costs.txt,
task258,A,shape_relayout_high_cost,primary,P3_ge17p5,160,19.924826,0.000000,0.000000,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task259,E,public_source_ab_testing,primary,P3_ge17p5,892,18.206534,0.000000,0.793466,shape_change,shrink,new_output_colors,266,scripts/v244_costs.txt,
task260,A,shape_relayout_high_cost,primary,P3_ge17p5,1573,17.639260,0.360740,1.360740,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task261,B,same_shape_rules_fill,primary,P3_ge17p5,200,19.701683,0.000000,0.000000,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task262,A,shape_relayout_high_cost,primary,P3_ge17p5,106,20.336561,0.000000,0.000000,same_shape,same_size,new_output_colors,11,scripts/v244_costs.txt,
task263,D,mid_low_score_rule_mining,primary,P3_ge17p5,670,18.492722,0.000000,0.507278,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task264,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,2329,17.246806,0.753194,1.753194,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task265,F,tail_validation_packaging,primary,P1_16_16p7,4357,16.620461,1.379539,2.379539,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task266,B,same_shape_rules_fill,primary,P3_ge17p5,311,19.260207,0.000000,0.000000,same_shape,same_size,new_output_colors,20,scripts/v244_costs.txt,
task267,E,public_source_ab_testing,primary,P3_ge17p5,758,18.369317,0.000000,0.630683,same_shape,same_size,input_palette_only,264,scripts/v244_costs.txt,
task268,E,public_source_ab_testing,primary,P2_16p7_17p5,2993,16.995968,1.004032,2.004032,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task269,F,tail_validation_packaging,primary,P3_ge17p5,709,18.436144,0.000000,0.563856,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task270,B,same_shape_rules_fill,primary,P2_16p7_17p5,2975,17.002001,0.997999,1.997999,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task271,E,public_source_ab_testing,primary,P3_ge17p5,1187,17.920816,0.079184,1.079184,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task272,F,tail_validation_packaging,primary,P3_ge17p5,402,19.003548,0.000000,0.000000,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task273,E,public_source_ab_testing,primary,P2_16p7_17p5,2158,17.323063,0.676937,1.676937,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
