task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task365,A,shape_relayout_high_cost,primary,P2_16p7_17p5,3929,16.723860,1.276140,2.276140,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task366,A,shape_relayout_high_cost,primary,P0_lt16,33744,14.573442,3.426558,4.426558,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task367,A,shape_relayout_high_cost,primary,P0_lt16,16687,15.277615,2.722385,3.722385,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task368,B,same_shape_rules_fill,primary,P1_16_16p7,5130,16.457139,1.542861,2.542861,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task369,B,same_shape_rules_fill,primary,P3_ge17p5,1393,17.760785,0.239215,1.239215,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task370,E,public_source_ab_testing,primary,P1_16_16p7,8099,16.000504,1.999496,2.999496,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task371,A,shape_relayout_high_cost,primary,P3_ge17p5,467,18.853671,0.000000,0.146329,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task372,C,onnx_equiv_compression,primary,P3_ge17p5,710,18.434735,0.000000,0.565265,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task373,C,onnx_equiv_compression,primary,P3_ge17p5,60,20.905655,0.000000,0.000000,same_shape,same_size,input_palette_only,75,scripts/v244_costs.txt,
task374,A,shape_relayout_high_cost,primary,P2_16p7_17p5,2283,17.266754,0.733246,1.733246,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task375,A,shape_relayout_high_cost,primary,P3_ge17p5,327,19.210040,0.000000,0.000000,same_shape,same_size,input_palette_only,58,scripts/v244_costs.txt,
task376,A,shape_relayout_high_cost,primary,P3_ge17p5,186,19.774253,0.000000,0.000000,shape_change,grow,input_palette_only,39,scripts/v244_costs.txt,
task377,B,same_shape_rules_fill,primary,P1_16_16p7,4567,16.573388,1.426612,2.426612,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
