"task","base_cost","base_points","cost","memory","params","points","gain","path"
"18","24360","14.8993022781762","19047","18836","211","15.1453351121614","0.246032833985272","D:\golf\public_probe_variants\team_pending_b018_b285_exact_v1_20260713\submission\task018.onnx"
"285","19700","15.1116260852739","18189","17920","269","15.1914277052602","0.0798016199862399","D:\golf\public_probe_variants\team_pending_b018_b285_exact_v1_20260713\submission\task285.onnx"
