task_id,owner,owner_track,priority_band,assignment_points,current_score,gap_to_target,total_cost,correctness,shape_class,size_trend,color_class,candidate_id,source_type,onnx_template_candidate,recoverability,estimated_gain,priority,notes
task388,C,onnx_equiv_compression,P2_16p7_17p5,17.308343,17.488475351609132,7.511524648390868,1829.0,pass,shape_change,grow,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.511524648390868,15.023049,
task302,C,onnx_equiv_compression,P3_ge17p5,17.519008,17.519007837130474,7.480992162869526,1774.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.480992162869526,14.961984,
task381,C,onnx_equiv_compression,P2_16p7_17p5,17.367599,17.530916115078767,7.469083884921233,1753.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.469083884921233,14.938168,
task061,C,onnx_equiv_compression,P3_ge17p5,17.580619,17.58061941708131,7.419380582918691,1668.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.419380582918691,14.838761,
task159,C,onnx_equiv_compression,P3_ge17p5,17.642444,17.642443799089648,7.357556200910352,1568.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.357556200910352,14.715112,
task075,C,onnx_equiv_compression,P3_ge17p5,17.695484,17.695484053539843,7.304515946460157,1487.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.304515946460157,14.609032,
task141,C,onnx_equiv_compression,P3_ge17p5,17.767990,17.76798966833524,7.23201033166476,1383.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.23201033166476,14.464021,
task335,C,onnx_equiv_compression,P2_16p7_17p5,16.950254,17.77016122184875,7.229838778151251,1380.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.229838778151251,14.459678,
task304,C,onnx_equiv_compression,P3_ge17p5,17.726907,17.814612984419583,7.185387015580417,1320.0,pass,shape_change,grow,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.185387015580417,14.370774,
task356,C,onnx_equiv_compression,P3_ge17p5,17.815371,17.815370847282686,7.184629152717314,1319.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.184629152717314,14.369258,
task351,C,onnx_equiv_compression,P3_ge17p5,17.886044,17.886043890433967,7.113956109566033,1229.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.113956109566033,14.227912,
task301,C,onnx_equiv_compression,P3_ge17p5,17.960340,17.960339650137925,7.039660349862075,1141.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,7.039660349862075,14.079321,
task225,C,onnx_equiv_compression,P3_ge17p5,18.061716,18.06171551598304,6.938284484016961,1031.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.938284484016961,13.876569,
task194,C,onnx_equiv_compression,P3_ge17p5,18.144591,18.14459120139007,6.855408798609929,949.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.855408798609929,13.710818,
task193,C,onnx_equiv_compression,P3_ge17p5,18.186555,18.186555400489105,6.813444599510895,910.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.813444599510895,13.626889,
task015,C,onnx_equiv_compression,P3_ge17p5,18.197605,18.197605236675688,6.802394763324312,900.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.802394763324312,13.60479,
task230,C,onnx_equiv_compression,P3_ge17p5,18.197605,18.197605236675688,6.802394763324312,900.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.802394763324312,13.60479,
