task,strategy,old_cost,new_cost,delta_cost,ok,examples_checked,nodes_before,nodes_after,initializers_before,initializers_after,file_size_before,file_size_after,accepted,artifact_path,notes,old_points,new_points
task364,optimizer,14642,14642,0,True,266,27,27,7,7,2168,2168,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task364.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",15.408350609793413,15.408350609793413
task364,sim,14642,14642,0,True,266,27,27,7,7,2168,2227,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task364.onnx,onnxsim(input=1x10x30x30),15.408350609793413,15.408350609793413
task364,optimizer_sim,14642,14642,0,True,266,27,27,7,7,2168,2227,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task364.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",15.408350609793413,15.408350609793413
task349,baseline,14892,14892,0,True,267,13,13,11,11,2664,2664,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task349.onnx,,,
task349,optimizer,14892,14892,0,True,267,13,13,11,11,2664,2664,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task349.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",15.391420565007392,15.391420565007392
task349,sim,14892,14892,0,True,267,13,13,11,11,2664,3089,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task349.onnx,onnxsim(input=1x10x30x30),15.391420565007392,15.391420565007392
task349,optimizer_sim,14892,14892,0,True,267,13,13,11,11,2664,3089,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task349.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",15.391420565007392,15.391420565007392
task077,baseline,7657,7657,0,True,266,15,15,11,11,979,979,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task077.onnx,,,
task077,optimizer,7657,7657,0,True,266,15,15,11,11,979,979,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task077.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",16.056624458886876,16.056624458886876
task077,sim,7657,7657,0,True,266,15,15,11,11,979,1403,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task077.onnx,onnxsim(input=1x10x30x30),16.056624458886876,16.056624458886876
