task,label,path,bytes,valid,memory,params,cost,points,error,base_cost,base_points,gain,override_source
205,b_yusuke_v176_task205_377_fp16tail_online_probe_20260710,D:\golf\public_probe_variants\b_yusuke_v176_task205_377_fp16tail_online_probe_20260710\submission\task205.onnx,5687,True,4206,45,4251,16.64509047164121,,4891,16.504847939460642,0.1402425321805687,D:\golf\reconstruction_candidates\b_yusuke_task205_fp16_tail_20260709\optimize_task205_fp16_tail_yusuke\task205.onnx
377,b_yusuke_v176_task205_377_fp16tail_online_probe_20260710,D:\golf\public_probe_variants\b_yusuke_v176_task205_377_fp16tail_online_probe_20260710\submission\task377.onnx,5470,True,2952,1015,3967,16.71423457948567,,4567,16.573388186815002,0.14084639267066734,D:\golf\reconstruction_candidates\b_yusuke_task377_fp16_tail_20260709\optimize_task377_fp16_tail_yusuke\task377.onnx
